"Name","Citizenship"
"Description","Native Citizen: Individuals who were born in the United States, Puerto Rico, a U.S. Island Area (such as Guam), or abroad of American (U.S. citizen) parent or parents are considered U.S. citizens at birth.<br />
Naturalized Citizens: Foreign-born individuals&nbsp;who are U.S. citizens through naturalization.&nbsp;<br />
Non-Citizens:&nbsp; Individuals who are not currently citizens of the U.S."
"Source Notes","<span style=""font-family: GestaCond-Regular, GestaCond-Regular, Tahoma, Arial, sans-serif; color: #333333;""></span><span style=""font-family: GestaCond-Regular, GestaCond-Regular, Tahoma, Arial, sans-serif; color: #333333;""></span>U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B05002 (2005-2023); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","<normal>Percents refer&nbsp;to the share of the total population for that year.&nbsp;<br />
<br />
<span style=""background-color: #ffffff; border: 0px; font-variant: inherit; font-weight: inherit; font-stretch: inherit; line-height: inherit; margin: 0px; padding: 0px; vertical-align: baseline;"">We do not report 2020 American Community Survey 1-year estimates. Due to disruptions and biases in data collection during 2020, the Census Bureau released the &ldquo;experimental&rdquo; 1-year estimates for 2020 and advises against comparing against estimates from prior or future years.<span style=""font-variant: inherit; font-weight: inherit; font-stretch: inherit; line-height: inherit; border: 0px; margin: 0px; padding: 0px; vertical-align: baseline; color: inherit;"">&nbsp;<br />
</span></span><br />
Please note that the citizenship question on the American Community Survey (ACS) has seen higher levels of non-response in recent years. In New York State, the share of ACS respondents who skipped this question exceeded 8% in 2018 &mdash; greater than for any other demographic questions. For this reason, while the data remain reliable, the <em>number</em>&nbsp;values should be interpreted with caution; for smaller estimates at the community district level, the average margin of error was 13% of the estimated value for 2018 data.</normal><br />
<br />
For more information:<br />
<blockquote style=""margin: 0px 0px 0px 40px; border: none; padding: 0px;"">O'Hare, W. (2018). ""Citizenship Question Nonresponse: A Demographic Profile of People Who Do Not Answer the American Community Survey Citizenship Question."" <em>Center on Poverty and Inequality at Georgetown Law</em>. Retrieved from:&nbsp;<a href=""http://www.georgetownpoverty.org/wp-content/uploads/2018/09/GCPI-ESOI-Demographic-Profile-of-People-Who-Do-Not-Respond-to-the-Citizenship-Question-20180906.pdf"">http://www.georgetownpoverty.org/wp-content/uploads/2018/09/GCPI-ESOI-Demographic-Profile-of-People-Who-Do-Not-Respond-to-the-Citizenship-Question-20180906.pdf</a></blockquote>"
Staten Island,Native Citizen,2010,Number,368866,36085
New York City,Native Citizen,2010,Number,5142584,3651000
Riverdale,Native Citizen,2010,Percent,0.67426,208
Williamsbridge,Native Citizen,2010,Percent,0.59841,212
Throgs Neck,Native Citizen,2010,Percent,0.79181,210
Pelham Parkway,Native Citizen,2010,Percent,0.61484,211
Morrisania,Native Citizen,2010,Percent,0.70521,203
East Tremont,Native Citizen,2010,Percent,0.70521,206
Bedford Park,Native Citizen,2010,Percent,0.59316,207
University Heights,Native Citizen,2010,Percent,0.61209,205
Concourse/Highbridge,Native Citizen,2010,Percent,0.5811,204
Unionport/Soundview,Native Citizen,2010,Percent,0.67677,209
Mott Haven,Native Citizen,2010,Percent,0.72274,201
Hunts Point,Native Citizen,2010,Percent,0.72274,202
Washington Heights,Native Citizen,2010,Percent,0.4992,112
Manhattanville,Native Citizen,2010,Percent,0.67377,109
Central Harlem,Native Citizen,2010,Percent,0.80324,110
East Harlem,Native Citizen,2010,Percent,0.7411,111
Upper East Side,Native Citizen,2010,Percent,0.78877,108
Upper West Side,Native Citizen,2010,Percent,0.77624,107
Chelsea/Clinton,Native Citizen,2010,Percent,0.72982,104
Midtown Business District,Native Citizen,2010,Percent,0.72982,105
Murray Hill/Stuyvesant,Native Citizen,2010,Percent,0.77498,106
Lower East Side,Native Citizen,2010,Percent,0.64791,103
Battery Park/Tribeca,Native Citizen,2010,Percent,0.76945,101
Greenwich Village,Native Citizen,2010,Percent,0.76945,102
Tottenville,Native Citizen,2010,Percent,0.85509,503
South Beach,Native Citizen,2010,Percent,0.74255,502
St. George,Native Citizen,2010,Percent,0.75297,501
Williamsburg/Greenpoint,Native Citizen,2010,Percent,0.74155,301
Bushwick,Native Citizen,2010,Percent,0.643,304
Bedford Stuyvesant,Native Citizen,2010,Percent,0.77752,303
Fort Greene/Brooklyn Hts,Native Citizen,2010,Percent,0.80416,302
Park Slope,Native Citizen,2010,Percent,0.83905,306
Crown Heights North,Native Citizen,2010,Percent,0.69867,308
Brownsville,Native Citizen,2010,Percent,0.71236,316
East New York,Native Citizen,2010,Percent,0.67146,305
Canarsie,Native Citizen,2010,Percent,0.58638,318
East Flatbush,Native Citizen,2010,Percent,0.47422,317
Crown Heights South,Native Citizen,2010,Percent,0.55565,309
Sunset Park,Native Citizen,2010,Percent,0.48421,307
Bay Ridge,Native Citizen,2010,Percent,0.61783,310
Borough Park,Native Citizen,2010,Percent,0.64125,312
Flatbush/Midwood,Native Citizen,2010,Percent,0.53404,314
Sheepshead Bay,Native Citizen,2010,Percent,0.53952,315
Bensonhurst,Native Citizen,2010,Percent,0.47768,311
Coney Island,Native Citizen,2010,Percent,0.46889,313
Astoria,Native Citizen,2010,Percent,0.55104,401
Jackson Heights,Native Citizen,2010,Percent,0.36274,403
Flushing,Native Citizen,2010,Percent,0.46982,407
Bayside,Native Citizen,2010,Percent,0.5622,411
Queens Village,Native Citizen,2010,Percent,0.56697,413
Fresh Meadows/Briarwood,Native Citizen,2010,Percent,0.54497,408
Elmhurst/Corona,Native Citizen,2010,Percent,0.36102,404
Rego Park/Forest Hills,Native Citizen,2010,Percent,0.50445,406
Sunnyside/Woodside,Native Citizen,2010,Percent,0.45258,402
Ridgewood/Glendale,Native Citizen,2010,Percent,0.61043,405
Woodhaven,Native Citizen,2010,Percent,0.50584,409
Jamaica/St. Albans,Native Citizen,2010,Percent,0.5773,412
Howard Beach,Native Citizen,2010,Percent,0.51516,410
The Rockaways,Native Citizen,2010,Percent,0.74281,414
Bronx,Native Citizen,2010,Percent,0.65692,36005
Brooklyn,Native Citizen,2010,Percent,0.62204,36047
Manhattan,Native Citizen,2010,Percent,0.71528,36061
Queens,Native Citizen,2010,Percent,0.52268,36081
Staten Island,Native Citizen,2010,Percent,0.78589,36085
New York City,Native Citizen,2010,Percent,0.6283,3651000
Riverdale,Naturalized Citizen,2010,Number,19243,208
Williamsbridge,Naturalized Citizen,2010,Number,32468,212
Throgs Neck,Naturalized Citizen,2010,Number,15652,210
Pelham Parkway,Naturalized Citizen,2010,Number,21723,211
Morrisania,Naturalized Citizen,2010,Number,9699.81851,203
East Tremont,Naturalized Citizen,2010,Number,10126.18149,206
Bedford Park,Naturalized Citizen,2010,Number,16907,207
University Heights,Naturalized Citizen,2010,Number,16262,205
Concourse/Highbridge,Naturalized Citizen,2010,Number,22386,204
Unionport/Soundview,Naturalized Citizen,2010,Number,26194,209
Mott Haven,Naturalized Citizen,2010,Number,10143.13528,201
Hunts Point,Naturalized Citizen,2010,Number,5791.86472,202
Washington Heights,Naturalized Citizen,2010,Number,46292,112
Manhattanville,Naturalized Citizen,2010,Number,17739,109
Central Harlem,Naturalized Citizen,2010,Number,11095,110
East Harlem,Naturalized Citizen,2010,Number,10531,111
Upper East Side,Naturalized Citizen,2010,Number,22857,108
Upper West Side,Naturalized Citizen,2010,Number,21282,107
Chelsea/Clinton,Naturalized Citizen,2010,Number,11688.8551,104
Midtown Business District,Naturalized Citizen,2010,Number,5850.1449,105
Murray Hill/Stuyvesant,Naturalized Citizen,2010,Number,13341,106
Lower East Side,Naturalized Citizen,2010,Number,31238,103
Battery Park/Tribeca,Naturalized Citizen,2010,Number,6222.02237,101
Greenwich Village,Naturalized Citizen,2010,Number,9184.97763,102
Tottenville,Naturalized Citizen,2010,Number,18278,503
South Beach,Naturalized Citizen,2010,Number,25274,502
St. George,Naturalized Citizen,2010,Number,19306,501
Williamsburg/Greenpoint,Naturalized Citizen,2010,Number,19739,301
Bushwick,Naturalized Citizen,2010,Number,15050,304
Bedford Stuyvesant,Naturalized Citizen,2010,Number,13607,303
Fort Greene/Brooklyn Hts,Naturalized Citizen,2010,Number,12623,302
Park Slope,Naturalized Citizen,2010,Number,10962,306
Crown Heights North,Naturalized Citizen,2010,Number,20129,308
Brownsville,Naturalized Citizen,2010,Number,19359,316
East New York,Naturalized Citizen,2010,Number,25987,305
Canarsie,Naturalized Citizen,2010,Number,57353,318
East Flatbush,Naturalized Citizen,2010,Number,43988,317
Crown Heights South,Naturalized Citizen,2010,Number,27723,309
Sunset Park,Naturalized Citizen,2010,Number,22159,307
Bay Ridge,Naturalized Citizen,2010,Number,30760,310
Borough Park,Naturalized Citizen,2010,Number,32685,312
Flatbush/Midwood,Naturalized Citizen,2010,Number,35864,314
Sheepshead Bay,Naturalized Citizen,2010,Number,44634,315
Bensonhurst,Naturalized Citizen,2010,Number,48788,311
Coney Island,Naturalized Citizen,2010,Number,37414,313
Astoria,Naturalized Citizen,2010,Number,36992,401
Jackson Heights,Naturalized Citizen,2010,Number,41300,403
Flushing,Naturalized Citizen,2010,Number,69957,407
Bayside,Naturalized Citizen,2010,Number,37532,411
Queens Village,Naturalized Citizen,2010,Number,58239,413
Fresh Meadows/Briarwood,Naturalized Citizen,2010,Number,39373,408
Elmhurst/Corona,Naturalized Citizen,2010,Number,35892,404
Rego Park/Forest Hills,Naturalized Citizen,2010,Number,40273,406
Sunnyside/Woodside,Naturalized Citizen,2010,Number,28358,402
Ridgewood/Glendale,Naturalized Citizen,2010,Number,34628,405
Woodhaven,Naturalized Citizen,2010,Number,36536,409
Jamaica/St. Albans,Naturalized Citizen,2010,Number,51393,412
Howard Beach,Naturalized Citizen,2010,Number,38591,410
The Rockaways,Naturalized Citizen,2010,Number,16208,414
Bronx,Naturalized Citizen,2010,Number,206596,36005
Brooklyn,Naturalized Citizen,2010,Number,518824,36047
Manhattan,Naturalized Citizen,2010,Number,207321,36061
Queens,Naturalized Citizen,2010,Number,565272,36081
Staten Island,Naturalized Citizen,2010,Number,62858,36085
New York City,Naturalized Citizen,2010,Number,1560871,3651000
Riverdale,Naturalized Citizen,2010,Percent,0.17629,208
Williamsbridge,Naturalized Citizen,2010,Percent,0.23659,212
Throgs Neck,Naturalized Citizen,2010,Percent,0.14296,210
Pelham Parkway,Naturalized Citizen,2010,Percent,0.17567,211
Morrisania,Naturalized Citizen,2010,Percent,0.12341,203
East Tremont,Naturalized Citizen,2010,Percent,0.12341,206
Bedford Park,Naturalized Citizen,2010,Percent,0.13544,207
University Heights,Naturalized Citizen,2010,Percent,0.12022,205
Concourse/Highbridge,Naturalized Citizen,2010,Percent,0.15268,204
Unionport/Soundview,Naturalized Citizen,2010,Percent,0.14315,209
Mott Haven,Naturalized Citizen,2010,Percent,0.10163,201
Hunts Point,Naturalized Citizen,2010,Percent,0.10163,202
Washington Heights,Naturalized Citizen,2010,Percent,0.22536,112
Manhattanville,Naturalized Citizen,2010,Percent,0.1285,109
Central Harlem,Naturalized Citizen,2010,Percent,0.08767,110
East Harlem,Naturalized Citizen,2010,Percent,0.09195,111
Upper East Side,Naturalized Citizen,2010,Percent,0.10445,108
Upper West Side,Naturalized Citizen,2010,Percent,0.10649,107
Chelsea/Clinton,Naturalized Citizen,2010,Percent,0.13043,104
Midtown Business District,Naturalized Citizen,2010,Percent,0.13043,105
Murray Hill/Stuyvesant,Naturalized Citizen,2010,Percent,0.09198,106
Lower East Side,Naturalized Citizen,2010,Percent,0.19645,103
Battery Park/Tribeca,Naturalized Citizen,2010,Percent,0.1063,101
Greenwich Village,Naturalized Citizen,2010,Percent,0.1063,102
Tottenville,Naturalized Citizen,2010,Percent,0.1109,503
South Beach,Naturalized Citizen,2010,Percent,0.19074,502
St. George,Naturalized Citizen,2010,Percent,0.11221,501
Williamsburg/Greenpoint,Naturalized Citizen,2010,Percent,0.13496,301
Bushwick,Naturalized Citizen,2010,Percent,0.10717,304
Bedford Stuyvesant,Naturalized Citizen,2010,Percent,0.10208,303
Fort Greene/Brooklyn Hts,Naturalized Citizen,2010,Percent,0.10061,302
Park Slope,Naturalized Citizen,2010,Percent,0.09169,306
Crown Heights North,Naturalized Citizen,2010,Percent,0.16869,308
Brownsville,Naturalized Citizen,2010,Percent,0.16771,316
East New York,Naturalized Citizen,2010,Percent,0.17725,305
Canarsie,Naturalized Citizen,2010,Percent,0.28263,318
East Flatbush,Naturalized Citizen,2010,Percent,0.31356,317
Crown Heights South,Naturalized Citizen,2010,Percent,0.25808,309
Sunset Park,Naturalized Citizen,2010,Percent,0.15694,307
Bay Ridge,Naturalized Citizen,2010,Percent,0.22355,310
Borough Park,Naturalized Citizen,2010,Percent,0.1935,312
Flatbush/Midwood,Naturalized Citizen,2010,Percent,0.22041,314
Sheepshead Bay,Naturalized Citizen,2010,Percent,0.33488,315
Bensonhurst,Naturalized Citizen,2010,Percent,0.29657,311
Coney Island,Naturalized Citizen,2010,Percent,0.36285,313
Astoria,Naturalized Citizen,2010,Percent,0.22195,401
Jackson Heights,Naturalized Citizen,2010,Percent,0.24271,403
Flushing,Naturalized Citizen,2010,Percent,0.27186,407
Bayside,Naturalized Citizen,2010,Percent,0.31166,411
Queens Village,Naturalized Citizen,2010,Percent,0.28113,413
Fresh Meadows/Briarwood,Naturalized Citizen,2010,Percent,0.2853,408
Elmhurst/Corona,Naturalized Citizen,2010,Percent,0.26291,404
Rego Park/Forest Hills,Naturalized Citizen,2010,Percent,0.35185,406
Sunnyside/Woodside,Naturalized Citizen,2010,Percent,0.22645,402
Ridgewood/Glendale,Naturalized Citizen,2010,Percent,0.19139,405
Woodhaven,Naturalized Citizen,2010,Percent,0.26946,409
Jamaica/St. Albans,Naturalized Citizen,2010,Percent,0.23142,412
Howard Beach,Naturalized Citizen,2010,Percent,0.28532,410
The Rockaways,Naturalized Citizen,2010,Percent,0.13068,414
Bronx,Naturalized Citizen,2010,Percent,0.14899,36005
Brooklyn,Naturalized Citizen,2010,Percent,0.20684,36047
Manhattan,Naturalized Citizen,2010,Percent,0.13066,36061
Queens,Naturalized Citizen,2010,Percent,0.25305,36081
Staten Island,Naturalized Citizen,2010,Percent,0.13392,36085
New York City,Naturalized Citizen,2010,Percent,0.1907,3651000
Riverdale,Non-Citizens,2010,Number,16312,208
Williamsbridge,Non-Citizens,2010,Number,22643,212
Throgs Neck,Non-Citizens,2010,Number,7141,210
Pelham Parkway,Non-Citizens,2010,Number,25904,211
Morrisania,Non-Citizens,2010,Number,13469.95881,203
East Tremont,Non-Citizens,2010,Number,14062.04119,206
Bedford Park,Non-Citizens,2010,Number,33877,207
University Heights,Non-Citizens,2010,Number,36209,205
Concourse/Highbridge,Non-Citizens,2010,Number,39035,204
Unionport/Soundview,Non-Citizens,2010,Number,32949,209
Mott Haven,Non-Citizens,2010,Number,17527.54146,201
Hunts Point,Non-Citizens,2010,Number,10008.45854,202
Washington Heights,Non-Citizens,2010,Number,56580,112
Manhattanville,Non-Citizens,2010,Number,27296,109
Central Harlem,Non-Citizens,2010,Number,13806,110
East Harlem,Non-Citizens,2010,Number,19119,111
Upper East Side,Non-Citizens,2010,Number,23368,108
Upper West Side,Non-Citizens,2010,Number,23434,107
Chelsea/Clinton,Non-Citizens,2010,Number,12523.91614,104
Midtown Business District,Non-Citizens,2010,Number,6268.08386,105
Murray Hill/Stuyvesant,Non-Citizens,2010,Number,19297,106
Lower East Side,Non-Citizens,2010,Number,24747,103
Battery Park/Tribeca,Non-Citizens,2010,Number,7273.22794,101
Greenwich Village,Non-Citizens,2010,Number,10736.77206,102
Tottenville,Non-Citizens,2010,Number,5605,503
South Beach,Non-Citizens,2010,Number,8838,502
St. George,Non-Citizens,2010,Number,23196,501
Williamsburg/Greenpoint,Non-Citizens,2010,Number,18060,301
Bushwick,Non-Citizens,2010,Number,35086,304
Bedford Stuyvesant,Non-Citizens,2010,Number,16050,303
Fort Greene/Brooklyn Hts,Non-Citizens,2010,Number,11949,302
Park Slope,Non-Citizens,2010,Number,8281,306
Crown Heights North,Non-Citizens,2010,Number,15827,308
Brownsville,Non-Citizens,2010,Number,13844,316
East New York,Non-Citizens,2010,Number,22182,305
Canarsie,Non-Citizens,2010,Number,26583,318
East Flatbush,Non-Citizens,2010,Number,29771,317
Crown Heights South,Non-Citizens,2010,Number,20009,309
Sunset Park,Non-Citizens,2010,Number,50666,307
Bay Ridge,Non-Citizens,2010,Number,21826,310
Borough Park,Non-Citizens,2010,Number,27913,312
Flatbush/Midwood,Non-Citizens,2010,Number,39955,314
Sheepshead Bay,Non-Citizens,2010,Number,16740,315
Bensonhurst,Non-Citizens,2010,Number,37136,311
Coney Island,Non-Citizens,2010,Number,17350,313
Astoria,Non-Citizens,2010,Number,37834,401
Jackson Heights,Non-Citizens,2010,Number,67137,403
Flushing,Non-Citizens,2010,Number,66473,407
Bayside,Non-Citizens,2010,Number,15191,411
Queens Village,Non-Citizens,2010,Number,31469,413
Fresh Meadows/Briarwood,Non-Citizens,2010,Number,23423,408
Elmhurst/Corona,Non-Citizens,2010,Number,51340,404
Rego Park/Forest Hills,Non-Citizens,2010,Number,16449,406
Sunnyside/Woodside,Non-Citizens,2010,Number,40195,402
Ridgewood/Glendale,Non-Citizens,2010,Number,35858,405
Woodhaven,Non-Citizens,2010,Number,30466,409
Jamaica/St. Albans,Non-Citizens,2010,Number,42477,412
Howard Beach,Non-Citizens,2010,Number,26987,410
The Rockaways,Non-Citizens,2010,Number,15691,414
Bronx,Non-Citizens,2010,Number,269138,36005
Brooklyn,Non-Citizens,2010,Number,429228,36047
Manhattan,Non-Citizens,2010,Number,244449,36061
Queens,Non-Citizens,2010,Number,500990,36081
Staten Island,Non-Citizens,2010,Number,37639,36085
New York City,Non-Citizens,2010,Number,1481444,3651000
Riverdale,Non-Citizens,2010,Percent,0.14944,208
Williamsbridge,Non-Citizens,2010,Percent,0.165,212
Throgs Neck,Non-Citizens,2010,Percent,0.06523,210
Pelham Parkway,Non-Citizens,2010,Percent,0.20949,211
Morrisania,Non-Citizens,2010,Percent,0.17138,203
East Tremont,Non-Citizens,2010,Percent,0.17138,206
Bedford Park,Non-Citizens,2010,Percent,0.27139,207
University Heights,Non-Citizens,2010,Percent,0.26769,205
Concourse/Highbridge,Non-Citizens,2010,Percent,0.26623,204
Unionport/Soundview,Non-Citizens,2010,Percent,0.18007,209
Mott Haven,Non-Citizens,2010,Percent,0.17562,201
Hunts Point,Non-Citizens,2010,Percent,0.17562,202
Washington Heights,Non-Citizens,2010,Percent,0.27544,112
Manhattanville,Non-Citizens,2010,Percent,0.19773,109
Central Harlem,Non-Citizens,2010,Percent,0.10909,110
East Harlem,Non-Citizens,2010,Percent,0.16694,111
Upper East Side,Non-Citizens,2010,Percent,0.10678,108
Upper West Side,Non-Citizens,2010,Percent,0.11726,107
Chelsea/Clinton,Non-Citizens,2010,Percent,0.13975,104
Midtown Business District,Non-Citizens,2010,Percent,0.13975,105
Murray Hill/Stuyvesant,Non-Citizens,2010,Percent,0.13304,106
Lower East Side,Non-Citizens,2010,Percent,0.15563,103
Battery Park/Tribeca,Non-Citizens,2010,Percent,0.12425,101
Greenwich Village,Non-Citizens,2010,Percent,0.12425,102
Tottenville,Non-Citizens,2010,Percent,0.03401,503
South Beach,Non-Citizens,2010,Percent,0.0667,502
St. George,Non-Citizens,2010,Percent,0.13482,501
Williamsburg/Greenpoint,Non-Citizens,2010,Percent,0.12348,301
Bushwick,Non-Citizens,2010,Percent,0.24983,304
Bedford Stuyvesant,Non-Citizens,2010,Percent,0.1204,303
Fort Greene/Brooklyn Hts,Non-Citizens,2010,Percent,0.09524,302
Park Slope,Non-Citizens,2010,Percent,0.06926,306
Crown Heights North,Non-Citizens,2010,Percent,0.13264,308
Brownsville,Non-Citizens,2010,Percent,0.11993,316
East New York,Non-Citizens,2010,Percent,0.1513,305
Canarsie,Non-Citizens,2010,Percent,0.131,318
East Flatbush,Non-Citizens,2010,Percent,0.21222,317
Crown Heights South,Non-Citizens,2010,Percent,0.18627,309
Sunset Park,Non-Citizens,2010,Percent,0.35885,307
Bay Ridge,Non-Citizens,2010,Percent,0.15862,310
Borough Park,Non-Citizens,2010,Percent,0.16525,312
Flatbush/Midwood,Non-Citizens,2010,Percent,0.24555,314
Sheepshead Bay,Non-Citizens,2010,Percent,0.1256,315
Bensonhurst,Non-Citizens,2010,Percent,0.22574,311
Coney Island,Non-Citizens,2010,Percent,0.16826,313
Astoria,Non-Citizens,2010,Percent,0.227,401
Jackson Heights,Non-Citizens,2010,Percent,0.39455,403
Flushing,Non-Citizens,2010,Percent,0.25832,407
Bayside,Non-Citizens,2010,Percent,0.12614,411
Queens Village,Non-Citizens,2010,Percent,0.1519,413
Fresh Meadows/Briarwood,Non-Citizens,2010,Percent,0.16973,408
Elmhurst/Corona,Non-Citizens,2010,Percent,0.37607,404
Rego Park/Forest Hills,Non-Citizens,2010,Percent,0.14371,406
Sunnyside/Woodside,Non-Citizens,2010,Percent,0.32097,402
Ridgewood/Glendale,Non-Citizens,2010,Percent,0.19818,405
Woodhaven,Non-Citizens,2010,Percent,0.22469,409
Jamaica/St. Albans,Non-Citizens,2010,Percent,0.19127,412
Howard Beach,Non-Citizens,2010,Percent,0.19952,410
The Rockaways,Non-Citizens,2010,Percent,0.12651,414
Bronx,Non-Citizens,2010,Percent,0.19409,36005
Brooklyn,Non-Citizens,2010,Percent,0.17112,36047
Manhattan,Non-Citizens,2010,Percent,0.15406,36061
Queens,Non-Citizens,2010,Percent,0.22427,36081
Staten Island,Non-Citizens,2010,Percent,0.08019,36085
New York City,Non-Citizens,2010,Percent,0.181,3651000
Riverdale,Native Citizen,2011,Number,71165,208
Williamsbridge,Native Citizen,2011,Number,86749,212
Throgs Neck,Native Citizen,2011,Number,100198,210
Pelham Parkway,Native Citizen,2011,Number,80537,211
Morrisania,Native Citizen,2011,Number,57961.13685,203
East Tremont,Native Citizen,2011,Number,60508.86315,206
Bedford Park,Native Citizen,2011,Number,70517,207
University Heights,Native Citizen,2011,Number,77347,205
